-- initial wave,, ,, ,
ok,OpeAbr-GeoComp, ,Stan Openshaw; Robert J Abrahart, ,GeoComputation
ok,Rec-EcoInfScoTechApp, ,Friedrich Recknagel, ,"Ecological informatics : scope, techniques, and applications"
ok,CipBatFar-CompVisDetRecRec, ,Roberto Cipolla; Sebastiano Battiato; Giovanni Maria Farinella, ,"Computer vision : detection, recognition and reconstruction"
not found,NRC-TraResBoaTraFloTheCha, ,National Research Council (U.S.)., ,Transportation Research Board: Traffic flow theory and characteristics.
not found,MirMalChe-FuzMatMed, ,John N Mordeson; D S Malik; Shiquan Cheng, ,Fuzzy mathematics in medicine
not found,Sag-ApVarFuzSliModConIndMotDri, ,Ali Saghafinia, ,Applications of various fuzzy sliding mode controllers in induction motor drives
ok,For-FuzCelAutConjNormForm, ,David M Forrester, ,Fuzzy cellular automata in conjunctive normal form
ok,IgnCirBog-DetFuzAutMemValComResLat, ,"Jelena Ignjatovi?, Miroslav ?iri?, Stojan Bogdanovi?", ,Determinization of fuzzy automata with membership values in complete residuated lattices
ok,CirIgnDamBas-BisFuzAut, ,"Miroslav ?iri?, Jelena Ignjatovi?, Nada Damljanovi?, Milan Baši?", ,Bisimulations for fuzzy automata
ok,JiaQin-FuzGraTheBasLat, ,"Jianhua Jin, Qingguo Li", ,Fuzzy grammar theory based on lattices
not found,Xxx-SocConLeaTheOtTheMod, ,????, ,Social Cognitive Learning Theory and other Theories and Models
ok,Zad-FuzzAlg, ,L. A. Zadeh, ,Fuzzy algorithms
-- found during the downloading,, ,, ,
already done,Tou-AppAutThe, ,Julius T. Tou (Eds.), ,Applied Automata Theory
ok,KhoNer-AutThe-Appls, ,"Bakhadyr Khoussainov, Anil Nerode ", ,Automata Theory and its Applications
ok,Gop-ComEngAppAuTheLo, ,Ganesh Gopalakrishnan, ,Computation Engineering: Applied Automata Theory and Logic
already done,HopUl-IntrAutTheLangComp, ," Hopcroft, J. E., & Ullman, J. D.", ,"Introduction to Automata Theory, Languages, and Computation"
ok,MosTie-AppModLogLing, ," Moss, L. S., & Tiède, H.-J.", ,Applications of modal logic in linguistics
ok,Sug-FunAnaChemSysLogCircEq+, ,Motoyosi Sugita, ,Functional analysis of chemical systems in vivo using a logical circuit equivalent: V. Molecular biological interpretation of the self-reproducing automata theory and chemico-physical interpretation of information in biological systems
ok,Tho-ApplAuthThe, ,Prof. Dr. Wolfgang Thomas, ,Applied Automata Theory
ok,Cyr+-ManMachInt1, ,"Krzysztof A. Cyran, Stanis?aw Kozielski, James F. Peters, Urszula Stanczyk, ´ Alicja Wakulicz-Deja", ,Man-Machine Interactions 1
ok,Rav-SomeInvFuzzAut, ,RAVI K. M., ,SOME INVESTIGATIONS IN FUZZY AUTOMATA
ok,Rav-SimReaSomNovActFilt, ,RAVI K. M., ,SIMULATION AND REALIZATION OF SOME NOVEL ACTIVE FILTERS
ok,TorrNie-FuzLogMedBio, ,Angela Torres and Juan J. Nieto, ,Fuzzy Logic in Medicine and Bioinformatics
ok,Xu+-BioFuzLog, ,"Dong Xu;  Rajkumar Bondugula; Mihail Popescu; James Keller, ", ,Bioinformatics and Fuzzy Logic
ok,CirIgnIvaDam-ComGreSimBisBetFuzAut, ,"?iri?, Miroslav; Ignjatovi?, Jelena; Jan?i?, Ivana; Damljanovi?, Nada", ,Computation of the greatest simulations and bisimulations between fuzzy automata
ok,Jan-WeaBisFuzAut, ,"Jan?i?, Ivana", ,Weak bisimulations for fuzzy automata
ok,Dub-FuzSetSysTheApp, ,Didier J. Dubois, ,Fuzzy Sets and Systems: Theory and Applications
-- next iteration,, ,, ,
--,-- AndAbdAsm-ApprPattMatcFuzzLog, ,, ,
not found,And-SetCloCommSubPro, ,G. Andrejková, ,The set closest common subsequence problem
ok,And-SimTwoStriFuzSet, ,G. Andrejková, ,The similarity of two strings of fuzzy sets
already done,Ast+-FuzzAutEpsMovCmpFuzzMeasBtwStrs, ,"J. J. Astrain, J. R. Gonzalez de Mendivil, J. R. Garitagoitia", ,Fuzzy automata with ?–moves compute fuzzy measures between strings
not found,RamGir-FuzAutStrComp, ,"V. Ramaswamy, H. A. Girijamma", ,Fuzzy Automata for String Comparison
--,-- AstGariGonVillFar-ApprStrMatUsiDefFuzzAutLearExpr, ,, ,
not found,SanKru-TiWaStrEdMacr+, ,"Sankoff, Kruskal", ,"Time Warps, String edits and Macromolecules: The theory an Practise of sequence Comparasion"
ok,XuKrySue-MetComMultClaTheAppHanRec, ,"Xu, Kryzak, Suen", ,Methods for combining Multiple Classifiers and Their Applications to Handwritting Recognition
already done,- yet done, ,"Garitagoitia, J R; de Mendivil, J R G; Echanobe, J; Astrain, J J; Farina, F.", ,Deformed fuzzy automata for correcting imperfect strings of fuzzy symbols
not found,ReiMenGar-ImpChaRecSysBasNeuNet+, ,"Reina, Mendevil, Gargittoria", ,Improved Character Recognition System based on a Neural Network Incorporating the context via Fuzzy automata
not found,NegRal-AppFuzSetSysAna, ,"Negoita, Ralescu", ,Aplications of fuzzy sets to systém analyzis
ok,Ast+-ImpStrMaExpUsDefFuzAut, ,"Astrain, Garitagoita, Villadangos, Farina, Cordoba, Mendevil", ,An Imperfect String matching experience using deformed fuzzy automata
--,-- Ast+-FuzzAutEpsMovCmpFuzzMeasBtwStrs, ,, ,
ok,San-MaxAut, ,E.S. Santos, ,Maximin automata
ok,KliYu-FuzSetFuzLogTheApp, ,"G. Klir, B. Yuan", ,Fuzzy Sets and Fuzzy Logic: Theory and Applications
already done,OmlThoGil-FuzzFinStaAutCanDetEncIntRecNeuNet, ,"Ch. W. Omlin, K. K. Thornber, C. L. Giles", ,Fuzzy Finite-State Automata Can Be Deterministically Encoded Into Recurent Neural Networks
already done,HopUl-IntrAutTheLangComp, ,"J.E. Hopcroft, J.D. Ullman", ,"Introduction to Automata Theory, Languages, and Computation"
already done,Gar+-DefFuzAutCorImpStrFuzSym, ,"Garitagoitia, J R; de Mendivil, J R G; Echanobe, J; Astrain, J J; Farina, F.", ,Deformed fuzzy automata for correcting imperfect strings of fuzzy symbols
ok,Ast+-MobManCelComSysUsFuzSys, ,"J.J. Astrain, J. Villadangos, M. Castillo, J.R. Garitagoitia, F. Fariñ", ,Mobility management in cellular communication systems using fuzzy systems
ok,MizToyTan-SomConFuzAut, ,"M. Mizumoto, J. Toyoda, K. Tanak", ,Some considerations on fuzzy automata
