	Sug-FunAnaChemSysLogCircEq+	Motoyosi Sugita	Functional analysis of chemical systems in vivo using a logical circuit equivalent: V. Molecular biological interpretation of the self-reproducing automata theory and chemico-physical interpretation of information in biological systems	 
	Tho-ApplAuthThe	Prof. Dr. Wolfgang Thomas	Applied Automata Theory	 
	CyrKozPetStaUrsWak-ApprStrMatcFuzzAut	Cyran, Krzysztof A.; Kozielski, Stanisław; Peters, James F.; Stańczyk, Urszula; Wakulicz-Deja, Alicja	Approximate String Matching by Fuzzy Automata	 
	Cyr+-ManMachInt1	Krzysztof A. Cyran, Stanisław Kozielski, James F. Peters, Urszula Stanczyk, ´ Alicja Wakulicz-Deja	Man-Machine Interactions 1	 
	Rav-SomeInvFuzzAut	RAVI K. M.	SOME INVESTIGATIONS IN FUZZY AUTOMATA	 
	Rav-SimReaSomNovActFilt	RAVI K. M.	SIMULATION AND REALIZATION OF SOME NOVEL ACTIVE FILTERS	 
	TorrNie-FuzLogMedBio	Angela Torres and Juan J. Nieto	Fuzzy Logic in Medicine and Bioinformatics	 
	Xu+-BioFuzLog	Dong Xu;  Rajkumar Bondugula; Mihail Popescu; James Keller, 	Bioinformatics and Fuzzy Logic	 
	CirIgnIvaDam-ComGreSimBisBetFuzAut	Ćirić, Miroslav; Ignjatović, Jelena; Jančić, Ivana; Damljanović, Nada	Computation of the greatest simulations and bisimulations between fuzzy automata	 
	Jan-WeaBisFuzAut	Jančić, Ivana	Weak bisimulations for fuzzy automata	 
	Dub-FuzSetSysTheApp	Didier J. Dubois	Fuzzy Sets and Systems: Theory and Applications	 
	And-SimTwoStriFuzSet	G. Andrejková	The similarity of two strings of fuzzy sets	 
	XuKrySue-MetComMultClaTheAppHanRec	Xu, Kryzak, Suen	Methods for combining Multiple Classifiers and Their Applications to Handwritting Recognition	 
	Ast+-ImpStrMaExpUsDefFuzAut	Astrain, Garitagoita, Villadangos, Farina, Cordoba, Mendevil	An Imperfect String matching experience using deformed fuzzy automata	 
	San-MaxAut	E.S. Santos	Maximin automata	 
	KliYu-FuzSetFuzLogTheApp	G. Klir, B. Yuan	Fuzzy Sets and Fuzzy Logic: Theory and Applications	 
	Ast+-MobManCelComSysUsFuzSys	J.J. Astrain, J. Villadangos, M. Castillo, J.R. Garitagoitia, F. Fariñ	Mobility management in cellular communication systems using fuzzy systems	 
	MizToyTan-SomConFuzAut	M. Mizumoto, J. Toyoda, K. Tanak	Some considerations on fuzzy automata	 
	ThoMar-DetAccRegFuzLang	M.G. Thomason, P.N. Marinos	Deterministic acceptors of regular fuzzy languages	 
	Rab-TutHidMArModSelAppSpeRec	L.R. Rabiner	A tutorial on hidden Markov models and selected applications in speech recognition	 
	KosJuhMer-SynRecEcgSigAttFinAut	A. Koski, M. Juhola, M. Meriste	Syntactic recognition of ECG signals by attributed finite automata	 
	MorTak-AutCosFsaLanModSpeRec+	T. Morimoto, S. Takahashi	Automatic construction of FSA language model for speech recognition by FSA DP-matching	 
	SteAdl-CliMonFuzAut	F. Steimann, K.P. Adlassnig	Clinical monitoring with fuzzy automata	 
